PGPR,Dpi,Rep,Gene,Cq
P. fluorescens,1,3,Thi2.1,32.57
S. marcescens,1,1,Thi2.1,34.35
S. marcescens,1,2,Thi2.1,34.71
S. marcescens,1,3,Thi2.1,33.68
B. subtilis,1,1,Thi2.1,32.72
B. subtilis,1,2,Thi2.1,34.09
B. subtilis,1,3,Thi2.1,34.37
Control,1,1,Thi2.1,35.37
Control,1,2,Thi2.1,34.83
Control,1,3,Thi2.1,35.54
P. fluorescens,4,1,Thi2.1,34.52
P. fluorescens,4,2,Thi2.1,33.78
P. fluorescens,4,3,Thi2.1,33.74
S. marcescens,4,1,Thi2.1,37.37
S. marcescens,4,2,Thi2.1,39.14
S. marcescens,4,3,Thi2.1,35.48
B. subtilis,4,1,Thi2.1,31.33
B. subtilis,4,2,Thi2.1,31.29
B. subtilis,4,3,Thi2.1,31.66
Control,4,1,Thi2.1,39.54
Control,4,2,Thi2.1,35.14
Control,4,3,Thi2.1,33.18
P. fluorescens,7,1,Thi2.1,34.27
P. fluorescens,7,2,Thi2.1,35.37
P. fluorescens,7,3,Thi2.1,35.97
S. marcescens,7,1,Thi2.1,34.36
S. marcescens,7,2,Thi2.1,34.36
S. marcescens,7,3,Thi2.1,35.36
B. subtilis,7,1,Thi2.1,34.70
B. subtilis,7,2,Thi2.1,35.89
B. subtilis,7,3,Thi2.1,35.68
Control,7,1,Thi2.1,37.31
Control,7,2,Thi2.1,39.92
Control,7,3,Thi2.1,35.20
P. fluorescens,10,1,Thi2.1,35.65
P. fluorescens,10,2,Thi2.1,36.90
P. fluorescens,10,3,Thi2.1,36.28
S. marcescens,10,1,Thi2.1,31.99
S. marcescens,10,2,Thi2.1,31.61
S. marcescens,10,3,Thi2.1,32.08
B. subtilis,10,1,Thi2.1,35.71
B. subtilis,10,2,Thi2.1,35.54
B. subtilis,10,3,Thi2.1,34.29
Control,10,1,Thi2.1,34.90
Control,10,2,Thi2.1,34.00
Control,10,3,Thi2.1,34.89
