PGPR,Dpi,Gene,Rep,Cq
Control,4,EDS1,1,22.16
Control,4,EDS1,2,22.16
Control,4,EDS1,3,22.1
Control,4,PDF1.2,1,23.45
Control,4,PDF1.2,2,23.57
Control,4,PDF1.2,3,23.66
Control,7,NPR1,1,22.53
Control,7,NPR1,2,22.61
Control,7,NPR1,3,22.43
Control,7,PAD4,1,23.44
Control,7,PAD4,2,23.44
Control,7,PAD4,3,23.69
Control,7,EDS1,1,21.52
Control,7,EDS1,2,21.68
Control,7,EDS1,3,21.5
Control,7,PDF1.2,1,24.03
Control,7,PDF1.2,2,23.85
Control,7,PDF1.2,3,23.87
P. fluorescens,1,ICS1,1,23.81
P. fluorescens,1,ICS1,2,23.68
P. fluorescens,1,ICS1,3,23.9
P. fluorescens,1,OPR3,1,34.29
P. fluorescens,1,OPR3,2,33.43
P. fluorescens,1,OPR3,3,34.05
P. fluorescens,1,RdR1,1,23.59
P. fluorescens,1,RdR1,2,23.51
P. fluorescens,1,RdR1,3,23.64
P. fluorescens,1,Thi2.1,1,33.77
P. fluorescens,1,Thi2.1,2,33.1
P. fluorescens,1,Thi2.1,3,34.15
P. fluorescens,4,ICS1,1,23.1
P. fluorescens,4,ICS1,2,23.11
P. fluorescens,4,ICS1,3,23.2
P. fluorescens,4,OPR3,1,33.74
P. fluorescens,4,OPR3,2,34.29
P. fluorescens,4,OPR3,3,34.43
P. fluorescens,4,RdR1,1,23.23
P. fluorescens,4,RdR1,2,23.07
P. fluorescens,4,RdR1,3,23.17
P. fluorescens,4,Thi2.1,1,33.77
P. fluorescens,4,Thi2.1,2,35.04
P. fluorescens,4,Thi2.1,3,33.9
P. fluorescens,7,ICS1,1,22.74
P. fluorescens,7,ICS1,2,22.83
P. fluorescens,7,ICS1,3,22.74
P. fluorescens,7,OPR3,1,34.29
P. fluorescens,7,OPR3,2,32.98
P. fluorescens,7,OPR3,3,33.08
P. fluorescens,7,RdR1,1,23.34
P. fluorescens,7,RdR1,2,23.37
P. fluorescens,7,RdR1,3,23.17
P. fluorescens,7,Thi2.1,1,35.46
P. fluorescens,7,Thi2.1,2,34.09
P. fluorescens,7,Thi2.1,3,34.12
S. marcescens,1,ICS1,1,23.72
S. marcescens,1,ICS1,2,23.2
S. marcescens,1,ICS1,3,23.08
S. marcescens,1,OPR3,1,34.42
S. marcescens,1,OPR3,2,33.4
S. marcescens,1,OPR3,3,33.71
S. marcescens,1,RdR1,1,23.09
S. marcescens,1,RdR1,2,23.18
S. marcescens,1,RdR1,3,23.04
S. marcescens,1,Thi2.1,1,32.76
S. marcescens,1,Thi2.1,2,32.45
S. marcescens,1,Thi2.1,3,
S. marcescens,4,ICS1,1,23.39
S. marcescens,4,ICS1,2,23.23
S. marcescens,4,ICS1,3,23.37
S. marcescens,4,OPR3,1,34.47
S. marcescens,4,OPR3,2,35.1
S. marcescens,4,OPR3,3,34
S. marcescens,4,RdR1,1,23.11
S. marcescens,4,RdR1,2,23.2
S. marcescens,4,RdR1,3,23.11
S. marcescens,4,Thi2.1,1,35.71
S. marcescens,4,Thi2.1,2,36.62
S. marcescens,4,Thi2.1,3,
S. marcescens,7,ICS1,1,22.56
S. marcescens,7,ICS1,2,22.61
S. marcescens,7,ICS1,3,22.78
S. marcescens,7,OPR3,1,34.62
S. marcescens,7,OPR3,2,33.62
S. marcescens,7,OPR3,3,35.39
S. marcescens,7,RdR1,1,23.64
S. marcescens,7,RdR1,2,23.44
S. marcescens,7,RdR1,3,23.41
S. marcescens,7,Thi2.1,1,33.01
S. marcescens,7,Thi2.1,2,34.23
S. marcescens,7,Thi2.1,3,34.77
B. subtilis,1,ICS1,1,23.74
B. subtilis,1,ICS1,2,23.82
B. subtilis,1,ICS1,3,23.8
B. subtilis,1,OPR3,1,36.34
B. subtilis,1,OPR3,2,35.15
B. subtilis,1,OPR3,3,34
B. subtilis,1,RdR1,1,23.22
B. subtilis,1,RdR1,2,23.19
B. subtilis,1,RdR1,3,23.28
B. subtilis,1,Thi2.1,1,34.83
B. subtilis,1,Thi2.1,2,35.63
